place,autumn,winter,spring,summer
The Hague,2.0,0.0,1.0,24.0
Scheveningen,0.0,0.0,0.0,1.0
Nieuw-Amsterdam,3.0,0.0,0.0,0.0
Drenthe,3.0,0.0,0.0,0.0
Nuenen,63.0,38.0,54.0,33.0
Amsterdam,1.0,0.0,0.0,0.0
Antwerp,0.0,6.0,0.0,0.0
Paris,0.0,0.0,0.0,0.0
Arles,48.0,33.0,52.0,53.0
Saint-Rémy,65.0,29.0,26.0,23.0
Auvers-sur-Oise,0.0,0.0,14.0,63.0
